Anno,Temp Media (oC)_mean,Temp Media (oC)_var,Temp Max (oC)_mean,Temp Max (oC)_var,Temp Minima (oC)_mean,Temp Minima (oC)_var,Humedad Media (%)_mean,Humedad Media (%)_var,Humedad Max (%)_mean,Humedad Max (%)_var,Humedad Min (%)_mean,Humedad Min (%)_var,Velviento (m/s)_mean,Velviento (m/s)_var,DirViento (o)_mean,DirViento (o)_var,VelVientoMax (m/s)_mean,VelVientoMax (m/s)_var,Precipitacion (mm)_mean,Precipitacion (mm)_var,Temp Media (oC)_mean_Semana_Pasada,Temp Media (oC)_var_Semana_Pasada,Temp Max (oC)_mean_Semana_Pasada,Temp Max (oC)_var_Semana_Pasada,Temp Minima (oC)_mean_Semana_Pasada,Temp Minima (oC)_var_Semana_Pasada,Humedad Media (%)_mean_Semana_Pasada,Humedad Media (%)_var_Semana_Pasada,Humedad Max (%)_mean_Semana_Pasada,Humedad Max (%)_var_Semana_Pasada,Humedad Min (%)_mean_Semana_Pasada,Humedad Min (%)_var_Semana_Pasada,Velviento (m/s)_mean_Semana_Pasada,Velviento (m/s)_var_Semana_Pasada,DirViento (o)_mean_Semana_Pasada,DirViento (o)_var_Semana_Pasada,VelVientoMax (m/s)_mean_Semana_Pasada,VelVientoMax (m/s)_var_Semana_Pasada,Precipitacion (mm)_mean_Semana_Pasada,Precipitacion (mm)_var_Semana_Pasada,superficie,numero_incendios,Sin_Semana,Cos_Semana,superficie_anterior,numero_anterior
2009,-0.01,5.6949,6.0243,1.2704,-4.7957,7.627,84.9143,64.8848,97.2714,8.6224,57.9471,169.84,0.5871,0.1133,168.9271,7319.5652,3.3657,2.5485,0.0286,0.0057,7.2425,2.6146,12.055,5.5242,3.065,6.0396,91.625,31.5892,98.825,1.2358,71.89,129.9207,0.4225,0.0305,265.225,1311.6225,2.225,0.4458,2.15,3.2367,6.0,2.0,0.23931566428755774,0.970941817426052,,
2009,5.2371,9.2971,10.8743,6.9375,0.2771,23.3576,83.9286,22.9157,97.4571,12.2762,61.59,120.7452,0.9257,0.1616,188.8143,1046.4948,4.6986,2.2187,1.4857,1.4648,-0.01,5.6949,6.0243,1.2704,-4.7957,7.627,84.9143,64.8848,97.2714,8.6224,57.9471,169.84,0.5871,0.1133,168.9271,7319.5652,3.3657,2.5485,0.0286,0.0057,13.1,2.0,0.3546048870425356,0.9350162426854148,6.0,2.0
2009,7.0757,16.1478,10.7657,13.3214,3.2914,15.525,86.3514,65.5492,95.9571,25.6329,69.8471,116.0222,1.6843,0.6017,228.4,453.49,8.41,11.959,10.0571,65.8895,5.2371,9.2971,10.8743,6.9375,0.2771,23.3576,83.9286,22.9157,97.4571,12.2762,61.59,120.7452,0.9257,0.1616,188.8143,1046.4948,4.6986,2.2187,1.4857,1.4648,0.0,0.0,0.4647231720437685,0.8854560256532099,13.1,2.0
2009,8.4686,9.2649,11.7971,9.0843,4.6414,13.2162,82.78,187.0814,97.6,3.2467,66.6114,416.3145,1.3171,1.0443,191.2714,2703.0124,6.6129,10.2418,9.3143,51.9448,7.0757,16.1478,10.7657,13.3214,3.2914,15.525,86.3514,65.5492,95.9571,25.6329,69.8471,116.0222,1.6843,0.6017,228.4,453.49,8.41,11.959,10.0571,65.8895,0.0,0.0,0.5680647467311558,0.8229838658936564,0.0,0.0
2009,3.5871,3.4337,8.7414,4.8479,-0.5229,4.2174,89.0714,8.969,98.8857,1.0081,69.6629,42.0139,1.11,0.3937,246.6571,2146.7429,5.58,1.953,5.0286,68.859,8.4686,9.2649,11.7971,9.0843,4.6414,13.2162,82.78,187.0814,97.6,3.2467,66.6114,416.3145,1.3171,1.0443,191.2714,2703.0124,6.6129,10.2418,9.3143,51.9448,0.0,0.0,0.6631226582407952,0.7485107481711011,0.0,0.0
2009,5.6329,6.489,14.1614,4.7573,0.7,8.8114,85.1714,32.3357,98.1857,8.5948,50.1114,118.175,0.77,0.4966,175.3143,2610.2414,3.78,7.1619,1.3714,7.179,3.5871,3.4337,8.7414,4.8479,-0.5229,4.2174,89.0714,8.969,98.8857,1.0081,69.6629,42.0139,1.11,0.3937,246.6571,2146.7429,5.58,1.953,5.0286,68.859,1.5,1.0,0.7485107481711011,0.6631226582407953,0.0,0.0
2009,4.8671,0.5325,16.6,3.1034,-2.0043,1.3417,80.6857,16.3514,99.6143,0.1648,35.3457,92.3612,0.44,0.0045,148.2,806.8433,2.6914,0.3075,0.0857,0.0114,5.6329,6.489,14.1614,4.7573,0.7,8.8114,85.1714,32.3357,98.1857,8.5948,50.1114,118.175,0.77,0.4966,175.3143,2610.2414,3.78,7.1619,1.3714,7.179,96.85,25.0,0.8229838658936564,0.5680647467311559,1.5,1.0
2009,7.7414,2.1202,18.7829,13.3328,0.7271,8.2046,77.8057,61.9749,98.0571,6.9062,36.6471,226.3684,0.4457,0.0099,154.59,8819.5624,2.8071,0.7335,0.0857,0.0114,4.8671,0.5325,16.6,3.1034,-2.0043,1.3417,80.6857,16.3514,99.6143,0.1648,35.3457,92.3612,0.44,0.0045,148.2,806.8433,2.6914,0.3075,0.0857,0.0114,227.66,64.0,0.8854560256532099,0.4647231720437686,96.85,25.0
2009,7.8543,4.1152,12.9814,7.2857,3.1443,10.8362,80.9143,36.7414,96.9429,7.2495,56.91,193.9025,1.02,0.2421,196.8671,15561.9375,4.8729,2.7983,3.1714,17.019,7.7414,2.1202,18.7829,13.3328,0.7271,8.2046,77.8057,61.9749,98.0571,6.9062,36.6471,226.3684,0.4457,0.0099,154.59,8819.5624,2.8071,0.7335,0.0857,0.0114,3.1,1.0,0.9350162426854148,0.35460488704253557,227.66,64.0
2009,9.6371,2.7444,23.3914,6.6512,0.0229,2.8854,68.4471,50.8907,98.3,0.8867,20.2771,54.8604,0.5086,0.0089,189.3143,5146.3981,3.1129,1.3719,0.0286,0.0057,7.8543,4.1152,12.9814,7.2857,3.1443,10.8362,80.9143,36.7414,96.9429,7.2495,56.91,193.9025,1.02,0.2421,196.8671,15561.9375,4.8729,2.7983,3.1714,17.019,350.14,42.0,0.970941817426052,0.23931566428755804,3.1,1.0
